"id","judge_id","challenger_1","challenger_2","winner","start_time","end_time","pool_number","survey_id"
926888,C_13_judge_7857777c75dff0c1464024864558b35a,Giraffa_camelopardalis_reticulata,Panthera_onca3,Panthera_onca3,2020-04-23 17:03:25,2020-04-23 17:03:38,1,13
926889,C_13_judge_7857777c75dff0c1464024864558b35a,Ursus_thibetanus,Intellagama_lesueurii,Intellagama_lesueurii,2020-04-23 17:03:38,2020-04-23 17:03:40,1,13
926890,C_13_judge_7857777c75dff0c1464024864558b35a,Nyctereutes_procyonoides,Sula_nebouxii,Nyctereutes_procyonoides,2020-04-23 17:03:40,2020-04-23 17:03:41,1,13
926891,C_13_judge_7857777c75dff0c1464024864558b35a,Gypaetus_barbatus2,Panthera_pardus_3,Gypaetus_barbatus2,2020-04-23 17:03:41,2020-04-23 17:03:42,1,13
926892,C_13_judge_7857777c75dff0c1464024864558b35a,Spheniscus_humboldti,Rattus_norvegicus,Spheniscus_humboldti,2020-04-23 17:03:42,2020-04-23 17:03:43,1,13
926893,C_13_judge_7857777c75dff0c1464024864558b35a,Lycaon_pictus2,Choloepus_didactylus,Lycaon_pictus2,2020-04-23 17:03:43,2020-04-23 17:03:46,1,13
926894,C_13_judge_7857777c75dff0c1464024864558b35a,Gulo_gulo,Chelonoidis_porteri,Chelonoidis_porteri,2020-04-23 17:03:46,2020-04-23 17:03:49,1,13
926895,C_13_judge_7857777c75dff0c1464024864558b35a,Notechis_scutatus,Miopithecus_ogouensis,Notechis_scutatus,2020-04-23 17:03:49,2020-04-23 17:03:50,1,13
926896,C_13_judge_7857777c75dff0c1464024864558b35a,Corvus,Vulpes_zerda,Corvus,2020-04-23 17:03:50,2020-04-23 17:03:53,1,13
926897,C_13_judge_7857777c75dff0c1464024864558b35a,Intellagama_lesueurii,Phascolarctos_cinereus,Intellagama_lesueurii,2020-04-23 17:03:53,2020-04-23 17:03:56,1,13
926898,C_13_judge_7857777c75dff0c1464024864558b35a,Bubo_bubo2,Oryctolagus_cuniculus,Bubo_bubo2,2020-04-23 17:03:56,2020-04-23 17:03:58,1,13
926899,C_13_judge_7857777c75dff0c1464024864558b35a,Spheniscus_humboldti,Odonata,Spheniscus_humboldti,2020-04-23 17:03:58,2020-04-23 17:04:00,1,13
926900,C_13_judge_7857777c75dff0c1464024864558b35a,Pogona_vitticeps,Panthera_leo3,Pogona_vitticeps,2020-04-23 17:04:00,2020-04-23 17:04:01,1,13
926901,C_13_judge_7857777c75dff0c1464024864558b35a,Bubo_bubo,Choloepus_didactylus2,Bubo_bubo,2020-04-23 17:04:01,2020-04-23 17:04:03,1,13
926902,C_13_judge_7857777c75dff0c1464024864558b35a,Bubo_scandiacus,Lynx_rufus2,Lynx_rufus2,2020-04-23 17:04:03,2020-04-23 17:04:04,1,13
926903,C_13_judge_7857777c75dff0c1464024864558b35a,Aepyceros_melampus2,Hippopotamus_amphibius,Hippopotamus_amphibius,2020-04-23 17:04:04,2020-04-23 17:04:06,1,13
926904,C_13_judge_7857777c75dff0c1464024864558b35a,Ursus_arctos_horribilis,Porphyrio_hochstetteri,Ursus_arctos_horribilis,2020-04-23 17:04:06,2020-04-23 17:04:08,1,13
926905,C_13_judge_7857777c75dff0c1464024864558b35a,Vulpes_zerda,Aepyceros_melampus,Aepyceros_melampus,2020-04-23 17:04:08,2020-04-23 17:04:10,1,13
926906,C_13_judge_7857777c75dff0c1464024864558b35a,Phacochoerus_africanus,Corvus,Phacochoerus_africanus,2020-04-23 17:04:10,2020-04-23 17:04:11,1,13
926907,C_13_judge_7857777c75dff0c1464024864558b35a,Cerdocyon_thous,Vicugna_pacos,Cerdocyon_thous,2020-04-23 17:04:11,2020-04-23 17:04:12,1,13
926908,C_13_judge_7857777c75dff0c1464024864558b35a,Rattus_norvegicus,Equus_caballus,Rattus_norvegicus,2020-04-23 17:04:12,2020-04-23 17:04:14,1,13
926909,C_13_judge_7857777c75dff0c1464024864558b35a,Choloepus_didactylus2,Loxodonta_africana,Loxodonta_africana,2020-04-23 17:04:14,2020-04-23 17:04:15,1,13
926910,C_13_judge_7857777c75dff0c1464024864558b35a,Centurio_senex,Ara_chloropterus,Centurio_senex,2020-04-23 17:04:15,2020-04-23 17:04:16,1,13
926911,C_13_judge_7857777c75dff0c1464024864558b35a,Malayopython_reticulatus,Crotalus_atrox,Malayopython_reticulatus,2020-04-23 17:04:16,2020-04-23 17:04:18,1,13
926912,C_13_judge_7857777c75dff0c1464024864558b35a,Rhyticeros_cassidix,Tapirus_indicus,Tapirus_indicus,2020-04-23 17:04:18,2020-04-23 17:04:22,1,13
929338,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Phascolarctos_cinereus2,Pholcus_phalangioides,Pholcus_phalangioides,2020-04-23 18:18:41,2020-04-23 18:18:46,1,13
929339,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Cerdocyon_thous,Tapirus_indicus,Tapirus_indicus,2020-04-23 18:18:46,2020-04-23 18:18:46,1,13
929340,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Sarcophilus_harrisii,Cairina_moschata,Sarcophilus_harrisii,2020-04-23 18:18:46,2020-04-23 18:18:50,1,13
929341,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Dendroaspis_angusticeps,Petroica_macrocephala,Dendroaspis_angusticeps,2020-04-23 18:18:50,2020-04-23 18:18:52,1,13
929342,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Sus_scrofa,Bubo_bubo2,Sus_scrofa,2020-04-23 18:18:52,2020-04-23 18:18:54,1,13
929343,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Calloselasma rhodostoma,Aquila_chrysaetos,Calloselasma rhodostoma,2020-04-23 18:18:54,2020-04-23 18:18:56,1,13
929344,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Nyctereutes_procyonoides,Theropithecus_gelada,Theropithecus_gelada,2020-04-23 18:18:56,2020-04-23 18:19:00,1,13
929345,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Oryctolagus_cuniculus,Equus_caballus,Equus_caballus,2020-04-23 18:19:00,2020-04-23 18:19:03,1,13
929346,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Rhyticeros_cassidix,Callithrix_argentata,Callithrix_argentata,2020-04-23 18:19:03,2020-04-23 18:19:07,1,13
929347,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Papillon,Pogona_vitticeps,Pogona_vitticeps,2020-04-23 18:19:07,2020-04-23 18:19:12,1,13
929348,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Ursus_thibetanus,Pan_paniscus4,Ursus_thibetanus,2020-04-23 18:19:12,2020-04-23 18:19:15,1,13
929349,C_13_judge_b793a236d45393a026e7923e79ea2f4d,Odonata,Pithecia pithecia,Pithecia pithecia,2020-04-23 18:19:15,2020-04-23 18:19:18,1,13
